c File:  hamming6-2.clq
c
c Source: Panos Pardalos pardalos@math.ufl.edu
c
c Reference: hamminga-b is a Hamming graph on a-bit words with
c            an edge if and only if the two words are at least
c            hamming distance b apart
c
p edge 64 1824
e 3 2
e 4 1
e 5 2
e 5 3
e 5 4
e 6 1
e 6 3
e 6 4
e 7 1
e 7 2
e 7 4
e 7 6
e 8 1
e 8 2
e 8 3
e 8 5
e 9 2
e 9 3
e 9 4
e 9 5
e 9 6
e 9 7
e 9 8
e 10 1
e 10 3
e 10 4
e 10 5
e 10 6
e 10 7
e 10 8
e 11 1
e 11 2
e 11 4
e 11 5
e 11 6
e 11 7
e 11 8
e 11 10
e 12 1
e 12 2
e 12 3
e 12 5
e 12 6
e 12 7
e 12 8
e 12 9
e 13 1
e 13 2
e 13 3
e 13 4
e 13 6
e 13 7
e 13 8
e 13 10
e 13 11
e 13 12
e 14 1
e 14 2
e 14 3
e 14 4
e 14 5
e 14 7
e 14 8
e 14 9
e 14 11
e 14 12
e 15 1
e 15 2
e 15 3
e 15 4
e 15 5
e 15 6
e 15 8
e 15 9
e 15 10
e 15 12
e 15 14
e 16 1
e 16 2
e 16 3
e 16 4
e 16 5
e 16 6
e 16 7
e 16 9
e 16 10
e 16 11
e 16 13
e 17 2
e 17 3
e 17 4
e 17 5
e 17 6
e 17 7
e 17 8
e 17 9
e 17 10
e 17 11
e 17 12
e 17 13
e 17 14
e 17 15
e 17 16
e 18 1
e 18 3
e 18 4
e 18 5
e 18 6
e 18 7
e 18 8
e 18 9
e 18 10
e 18 11
e 18 12
e 18 13
e 18 14
e 18 15
e 18 16
e 19 1
e 19 2
e 19 4
e 19 5
e 19 6
e 19 7
e 19 8
e 19 9
e 19 10
e 19 11
e 19 12
e 19 13
e 19 14
e 19 15
e 19 16
e 19 18
e 20 1
e 20 2
e 20 3
e 20 5
e 20 6
e 20 7
e 20 8
e 20 9
e 20 10
e 20 11
e 20 12
e 20 13
e 20 14
e 20 15
e 20 16
e 20 17
e 21 1
e 21 2
e 21 3
e 21 4
e 21 6
e 21 7
e 21 8
e 21 9
e 21 10
e 21 11
e 21 12
e 21 13
e 21 14
e 21 15
e 21 16
e 21 18
e 21 19
e 21 20
e 22 1
e 22 2
e 22 3
e 22 4
e 22 5
e 22 7
e 22 8
e 22 9
e 22 10
e 22 11
e 22 12
e 22 13
e 22 14
e 22 15
e 22 16
e 22 17
e 22 19
e 22 20
e 23 1
e 23 2
e 23 3
e 23 4
e 23 5
e 23 6
e 23 8
e 23 9
e 23 10
e 23 11
e 23 12
e 23 13
e 23 14
e 23 15
e 23 16
e 23 17
e 23 18
e 23 20
e 23 22
e 24 1
e 24 2
