c File:  johnson8-2-4.clq
c
c Source: Panos Pardalos pardalos@math.ufl.edu
c
c Reference: Johnson graph: johnsona-b-c is generated by
c            binary vectors of length a and weight b, with
c            two vertices adjacent if the hamming distance
c            between them is at least d.
c
p edge 28 210
e 4 3
e 5 2
e 6 1
e 7 3
e 7 5
e 7 6
e 8 2
e 8 4
e 8 6
e 9 1
e 9 4
e 9 5
e 10 1
e 10 2
e 10 3
e 11 3
e 11 5
e 11 6
e 11 8
e 11 9
e 11 10
e 12 2
e 12 4
e 12 6
e 12 7
e 12 9
e 12 10
e 13 1
e 13 4
e 13 5
e 13 7
e 13 8
e 13 10
e 14 1
e 14 2
e 14 3
e 14 7
e 14 8
e 14 9
e 15 1
e 15 2
e 15 3
e 15 4
e 15 5
e 15 6
e 16 3
e 16 5
e 16 6
e 16 8
e 16 9
e 16 10
e 16 12
e 16 13
e 16 14
e 16 15
e 17 2
e 17 4
e 17 6
e 17 7
e 17 9
e 17 10
e 17 11
e 17 13
e 17 14
e 17 15
e 18 1
e 18 4
e 18 5
e 18 7
e 18 8
e 18 10
e 18 11
e 18 12
e 18 14
e 18 15
e 19 1
e 19 2
e 19 3
e 19 7
e 19 8
e 19 9
e 19 11
e 19 12
e 19 13
e 19 15
e 20 1
e 20 2
e 20 3
e 20 4
e 20 5
e 20 6
e 20 11
e 20 12
e 20 13
e 20 14
e 21 1
e 21 2
e 21 3
e 21 4
e 21 5
e 21 6
e 21 7
e 21 8
e 21 9
e 21 10
e 22 3
e 22 5
e 22 6
e 22 8
e 22 9
e 22 10
e 22 12
e 22 13
e 22 14
e 22 15
e 22 17
e 22 18
e 22 19
e 22 20
e 22 21
e 23 2
e 23 4
e 23 6
e 23 7
e 23 9
e 23 10
e 23 11
e 23 13
e 23 14
e 23 15
e 23 16
e 23 18
e 23 19
e 23 20
e 23 21
e 24 1
e 24 4
e 24 5
e 24 7
e 24 8
e 24 10
e 24 11
e 24 12
e 24 14
e 24 15
e 24 16
e 24 17
e 24 19
e 24 20
e 24 21
e 25 1
e 25 2
e 25 3
e 25 7
e 25 8
e 25 9
e 25 11
e 25 12
e 25 13
e 25 15
e 25 16
e 25 17
e 25 18
e 25 20
e 25 21
e 26 1
e 26 2
e 26 3
e 26 4
e 26 5
e 26 6
e 26 11
e 26 12
e 26 13
e 26 14
e 26 16
e 26 17
e 26 18
e 26 19
e 26 21
e 27 1
e 27 2
e 27 3
e 27 4
e 27 5
e 27 6
e 27 7
e 27 8
e 27 9
e 27 10
e 27 16
e 27 17
e 27 18
e 27 19
e 27 20
e 28 1
e 28 2
e 28 3
e 28 4
e 28 5
e 28 6
e 28 7
e 28 8
e 28 9
e 28 10
e 28 11
e 28 12
e 28 13
e 28 14
e 28 15
