c File:  sanr400_0.7.clq
c
c SOURCE: Laura Sanchis (laura@cs.colgate.edu)
c
c DESCRIPTION:  Randomly generated graph of similar size to "san"
c               graphs, but with differenct clique characteristics
c
c REFERENCE: "Test Case Construction for the Vertex Cover Problem", 
c DIMACS Workshop on Computational Support for Discrete Mathematics, 
c March, 1992, with additional work in a to be published technical
c report.
c
c random graph 400 vertices 55869 edges
c 400 0.300000 972
p edge 400 55869
e 3 1
e 3 2
e 4 1
e 4 2
e 4 3
e 5 1
e 5 4
e 6 1
e 6 2
e 6 3
e 6 4
e 6 5
e 7 2
e 7 3
e 7 4
e 7 5
e 7 6
e 8 1
e 8 2
e 8 3
e 8 4
e 8 5
e 8 7
e 9 1
e 9 2
e 9 3
e 9 5
e 9 7
e 10 2
e 10 3
e 10 5
e 10 8
e 11 1
e 11 2
e 11 3
e 11 4
e 11 5
e 11 6
e 11 7
e 11 9
e 12 2
e 12 3
e 12 6
e 12 7
e 12 9
e 12 10
e 12 11
e 13 1
e 13 2
e 13 3
e 13 6
e 13 8
e 13 10
e 14 1
e 14 2
e 14 3
e 14 4
e 14 5
e 14 6
e 14 7
e 14 8
e 14 10
e 14 13
e 15 1
e 15 2
e 15 3
e 15 4
e 15 5
e 15 6
e 15 7
e 15 8
e 15 9
e 15 10
e 15 11
e 15 13
e 15 14
e 16 1
e 16 4
e 16 5
e 16 6
e 16 7
e 16 9
e 16 10
e 16 11
e 16 12
e 16 13
e 16 15
e 17 1
e 17 2
e 17 4
e 17 5
e 17 6
e 17 8
e 17 9
e 17 10
e 17 11
e 17 12
e 17 13
e 17 15
e 17 16
e 18 1
e 18 4
e 18 7
e 18 8
e 18 9
e 18 10
e 18 11
e 18 13
e 18 14
e 18 15
e 18 17
e 19 1
e 19 2
e 19 3
e 19 5
e 19 7
e 19 8
e 19 9
e 19 10
e 19 14
e 19 15
e 19 17
e 19 18
e 20 2
e 20 3
e 20 4
e 20 5
e 20 6
e 20 9
e 20 10
e 20 11
e 20 13
e 20 14
e 20 15
e 20 16
e 20 17
e 21 1
e 21 2
e 21 3
e 21 5
e 21 7
e 21 8
e 21 9
e 21 10
e 21 11
e 21 12
e 21 13
e 21 15
e 21 17
e 21 18
e 21 19
e 22 3
e 22 5
e 22 7
e 22 9
e 22 10
e 22 11
e 22 13
e 22 14
e 22 15
e 22 17
e 22 19
e 22 20
e 23 3
e 23 4
e 23 5
e 23 7
e 23 8
e 23 9
e 23 10
e 23 11
e 23 12
e 23 14
e 23 16
e 23 17
e 23 18
e 23 19
e 23 20
e 23 21
e 23 22
e 24 1
e 24 2
e 24 4
e 24 6
e 24 7
e 24 8
e 24 9
e 24 11
e 24 12
e 24 13
e 24 15
e 24 17
e 24 19
e 24 21
e 24 22
e 24 23
e 25 1
e 25 2
e 25 5
e 25 8
e 25 9
e 25 10
e 25 11
e 25 12
e 25 13
e 25 14
e 25 16
e 25 18
e 25 20
e 25 21
e 25 23
e 25 24
e 26 3
e 26 4
e 26 5
e 26 8
e 26 9
e 26 10
e 26 11
e 26 12
e 26 14
e 26 15
e 26 16
e 26 17
e 26 18
e 26 19
e 26 20
e 26 22
e 26 24
e 26 25
e 27 2
e 27 4
e 27 5
e 27 6
e 27 8
e 27 10
e 27 11
e 27 15
e 27 16
e 27 17
e 27 18
e 27 19
e 27 23
e 27 24
e 27 25
e 28 1
e 28 3
e 28 5
e 28 6
e 28 7
e 28 9
e 28 10
e 28 11
e 28 13
e 28 16
e 28 17
e 28 18
e 28 19
e 28 20
e 28 21
e 28 22
e 28 23
e 28 24
e 28 25
e 28 26
e 28 27
e 29 1
e 29 2
e 29 3
e 29 4
e 29 5
e 29 6
e 29 7
e 29 8
e 29 9
e 29 11
e 29 12
e 29 13
e 29 14
e 29 16
e 29 18
e 29 19
e 29 21
e 29 25
e 29 26
e 29 27
e 30 1
e 30 2
e 30 3
e 30 4
e 30 5
e 30 6
e 30 7
e 30 8
e 30 10
e 30 11
e 30 12
e 30 13
e 30 14
e 30 15
e 30 16
e 30 18
e 30 20
e 30 22
e 30 23
e 30 24
e 30 25
e 30 26
e 30 27
e 30 28
e 30 29
e 31 2
e 31 3
e 31 5
e 31 9
e 31 10
e 31 11
e 31 13
e 31 14
e 31 15
e 31 16
e 31 21
e 31 22
e 31 23
e 31 24
e 31 25
e 31 26
e 31 27
e 31 29
e 32 1
e 32 2
e 32 4
e 32 6
e 32 12
e 32 13
e 32 15
e 32 16
e 32 18
e 32 19
e 32 20
e 32 22
e 32 24
e 32 26
e 32 27
e 32 28
e 32 30
e 32 31
e 33 1
e 33 2
e 33 3
e 33 4
e 33 6
e 33 9
e 33 10
e 33 12
e 33 13
e 33 15
e 33 17
e 33 18
e 33 19
e 33 20
e 33 21
e 33 22
e 33 23
e 33 24
e 33 25
e 33 26
e 33 27
e 33 30
e 33 32
e 34 2
e 34 4
e 34 5
e 34 6
e 34 7
e 34 8
e 34 9
e 34 11
e 34 14
e 34 15
e 34 16
e 34 17
e 34 19
e 34 20
e 34 23
e 34 24
e 34 25
e 34 27
e 34 28
e 34 30
e 34 31
e 35 1
e 35 2
e 35 3
e 35 5
e 35 6
e 35 8
e 35 9
e 35 10
e 35 11
e 35 14
e 35 15
e 35 17
e 35 18
e 35 20
e 35 21
e 35 22
e 35 23
e 35 24
e 35 25
e 35 26
e 35 27
e 35 28
e 35 29
e 35 30
e 35 32
e 35 33
e 35 34
e 36 1
e 36 6
e 36 7
e 36 8
e 36 11
e 36 12
e 36 13
e 36 14
e 36 15
e 36 17
e 36 18
e 36 20
e 36 21
e 36 22
e 36 23
e 36 24
e 36 25
e 36 26
e 36 28
e 36 29
e 36 31
e 36 33
e 36 35
e 37 1
e 37 2
e 37 3
e 37 4
e 37 8
e 37 9
e 37 10
e 37 11
e 37 12
e 37 13
e 37 14
e 37 15
e 37 16
e 37 17
e 37 18
e 37 19
e 37 21
e 37 22
e 37 25
e 37 27
e 37 28
e 37 29
e 37 30
e 37 31
e 37 32
e 37 34
e 37 36
e 38 1
e 38 2
e 38 3
e 38 4
e 38 5
e 38 6
e 38 7
e 38 10
e 38 11
e 38 12
e 38 14
e 38 15
e 38 16
e 38 20
e 38 21
e 38 23
e 38 24
e 38 25
e 38 27
e 38 28
e 38 29
e 38 30
e 38 33
e 38 34
e 38 35
e 38 36
e 38 37
e 39 2
e 39 5
e 39 10
e 39 11
e 39 13
e 39 14
e 39 17
e 39 20
e 39 21
e 39 22
e 39 23
e 39 25
e 39 27
e 39 32
e 39 33
e 39 34
e 39 35
e 39 37
e 39 38
e 40 1
e 40 2
e 40 4
e 40 5
e 40 7
e 40 8
e 40 9
e 40 10
e 40 12
e 40 13
e 40 15
e 40 16
e 40 17
e 40 19
e 40 20
e 40 21
e 40 22
e 40 23
e 40 24
e 40 25
e 40 26
e 40 27
e 40 28
e 40 29
e 40 31
e 40 32
e 40 33
e 40 34
e 40 35
e 40 36
e 40 39
e 41 1
e 41 2
e 41 3
e 41 6
e 41 7
e 41 8
e 41 10
e 41 13
e 41 14
e 41 15
e 41 16
e 41 17
e 41 18
e 41 19
e 41 21
e 41 23
e 41 24
e 41 25
e 41 27
e 41 28
e 41 30
e 41 31
e 41 32
e 41 33
e 41 34
e 41 36
e 41 37
e 41 39
e 42 1
e 42 3
e 42 4
e 42 5
e 42 6
e 42 8
e 42 9
e 42 12
e 42 13
e 42 14
e 42 15
e 42 16
e 42 17
e 42 18
e 42 19
e 42 20
e 42 22
e 42 23
e 42 26
e 42 28
e 42 29
e 42 30
e 42 32
e 42 33
e 42 34
e 42 36
e 42 39
e 42 40
e 42 41
e 43 1
e 43 2
e 43 3
e 43 4
e 43 5
e 43 6
e 43 7
e 43 11
e 43 13
e 43 14
e 43 16
e 43 17
e 43 18
e 43 20
e 43 24
e 43 26
e 43 27
e 43 28
e 43 29
e 43 31
e 43 32
e 43 37
e 43 38
e 43 39
e 43 40
e 43 41
e 44 1
e 44 2
e 44 5
e 44 9
e 44 13
e 44 14
e 44 15
e 44 16
e 44 18
e 44 20
e 44 21
e 44 22
e 44 23
e 44 25
e 44 28
e 44 29
e 44 30
e 44 31
e 44 32
e 44 34
e 44 35
e 44 36
e 44 38
e 44 39
e 44 40
e 44 41
e 44 42
e 44 43
e 45 1
e 45 3
e 45 4
e 45 7
e 45 8
e 45 9
e 45 10
e 45 12
e 45 13
e 45 14
e 45 15
e 45 16
e 45 17
e 45 18
e 45 21
e 45 23
e 45 24
e 45 27
e 45 28
e 45 29
e 45 30
e 45 31
e 45 33
e 45 35
e 45 36
e 45 37
e 45 38
e 45 39
e 45 40
e 45 42
e 45 44
e 46 1
e 46 2
e 46 3
e 46 4
e 46 5
e 46 6
e 46 8
e 46 9
e 46 10
e 46 11
e 46 14
e 46 15
e 46 16
e 46 17
e 46 19
e 46 20
e 46 21
e 46 23
e 46 24
e 46 26
e 46 27
e 46 28
e 46 29
e 46 30
e 46 32
e 46 33
e 46 34
e 46 35
e 46 36
e 46 37
e 46 38
e 46 39
e 46 40
e 46 41
e 46 43
e 46 44
e 46 45
e 47 6
e 47 7
e 47 9
e 47 10
e 47 11
e 47 14
e 47 15
e 47 17
e 47 18
e 47 19
e 47 20
e 47 21
e 47 26
e 47 28
e 47 29
e 47 30
e 47 31
e 47 32
e 47 33
e 47 36
e 47 37
e 47 38
e 47 39
e 47 40
e 47 42
e 47 43
e 47 44
e 47 46
e 48 2
e 48 4
e 48 5
e 48 6
e 48 7
e 48 8
e 48 9
e 48 10
e 48 12
e 48 14
e 48 15
e 48 16
e 48 17
e 48 18
e 48 19
e 48 20
e 48 21
e 48 22
e 48 25
e 48 26
e 48 27
e 48 28
e 48 31
e 48 32
e 48 33
e 48 34
e 48 35
e 48 36
e 48 38
e 48 39
e 48 40
e 48 42
e 48 43
e 48 44
e 48 47
e 49 2
e 49 3
e 49 5
e 49 6
e 49 7
e 49 9
e 49 10
e 49 11
e 49 12
e 49 14
e 49 15
e 49 17
e 49 19
e 49 20
e 49 21
e 49 23
e 49 24
e 49 25
e 49 26
e 49 27
e 49 28
e 49 29
e 49 30
e 49 31
e 49 32
e 49 33
e 49 34
e 49 35
e 49 36
e 49 38
e 49 40
e 49 41
e 49 42
e 49 43
e 49 44
e 49 45
e 49 47
e 50 2
e 50 3
e 50 5
e 50 8
e 50 10
e 50 13
e 50 14
e 50 15
e 50 16
e 50 17
e 50 19
e 50 20
e 50 21
e 50 24
e 50 25
e 50 26
e 50 27
e 50 29
e 50 30
e 50 32
e 50 33
e 50 34
e 50 35
e 50 36
e 50 37
e 50 38
e 50 40
e 50 41
e 50 42
e 50 43
e 50 44
e 50 45
e 50 46
e 50 47
e 50 49
e 51 3
e 51 5
e 51 6
e 51 7
e 51 8
e 51 9
e 51 11
e 51 13
e 51 14
e 51 15
e 51 16
e 51 18
e 51 20
e 51 21
e 51 22
e 51 23
e 51 24
e 51 25
e 51 28
e 51 29
e 51 31
e 51 32
e 51 34
e 51 35
e 51 36
e 51 37
e 51 38
e 51 40
e 51 44
e 51 45
e 51 46
e 51 50
e 52 1
e 52 2
e 52 3
e 52 6
e 52 8
e 52 9
e 52 10
e 52 12
e 52 13
e 52 14
e 52 16
e 52 17
e 52 19
e 52 20
e 52 21
e 52 22
e 52 23
e 52 24
e 52 25
e 52 26
e 52 27
e 52 28
e 52 31
e 52 32
e 52 34
e 52 35
e 52 37
e 52 40
e 52 41
e 52 42
e 52 44
e 52 48
e 52 50
e 53 2
e 53 3
e 53 4
e 53 5
e 53 7
e 53 8
e 53 9
e 53 10
e 53 12
e 53 13
e 53 14
e 53 15
